"id_pub";"COD_PROV";"NOMBRE_ACTUAL";"POBLACION";"SUPERFICIE";"PERIMETRO";"COD_INE_CAPITAL";"CAPITAL";"POBLACION_CAPITAL";"LONGITUD_ETRS89";"LATITUD_ETRS89";"ALTITUD"
17;"01";"Elburgo/Burgelu";634;3209.0;58514;"01021000401";"Elburgo/Burgelu";181;"-2,545933";"42,850282";540
18;"01";"Elciego";996;1625.0;21854;"01022000101";"Elciego";996;"-2,61723872";"42,51420738";451
19;"01";"Elvillar/Bilar";327;1750.0;21190;"01023000101";"Elvillar/Bilar";327;"-2,54441267";"42,56842577";581
20;"01";"Iruraiz-Gauna";529;4712.0;81139;"01027000101";"Azilu";28;"-2,475996232";"42,83131017";627
21;"01";"Labastida/Bastida";1532;3810.0;35903;"01028000103";"Labastida/Bastida";1335;"-2,793199";"42,590217";555
22;"01";"Lagrán";171;4562.0;34064;"01030000101";"Lagran";100;"-2,58423377";"42,62621464";751
23;"01";"Laguardia";1464;8093.0;84606;"01031000202";"Laguardia/Biasteri";1311;"-2,58411693";"42,55236655";630
24;"01";"Lanciego/Lantziego";692;2425.0;26407;"01032000201";"Lanciego/Lantziego";602;"-2,51278162";"42,5624416";542
25;"01";"Lapuebla de Labarca";858;605.0;12528;"01033000101";"Lapuebla de Labarca";858;"-2,57209001";"42,49441468";431
26;"01";"Leza";219;992.0;14579;"01034000101";"Leza";186;"-2,63459428";"42,56469687";569
27;"01";"Laudio/Llodio";18009;3773.0;27543;"01036000101";"Laudio/Llodio";18009;"-2,96256495";"43,1425188";123
28;"01";"Arraia-Maeztu";800;12310.0;59163;"01037001001";"Maeztu/Maestu";336;"-2,444299";"42,738527";649
29;"01";"Moreda de Álava/Moreda Araba";209;867.0;12022;"01039000101";"Moreda de Álava/Moreda Araba";209;"-2,40841718";"42,52479167";461
30;"01";"Navaridas";197;891.0;11775;"01041000101";"Navaridas";197;"-2,62479544";"42,5450594";535
31;"01";"Okondo";1196;2985.0;34670;"01042000001";"Eskauriatza";0;"-3,019026823";"43,1615513";135
32;"01";"Oyón-Oion";3418;4517.0;42025;"01043000301";"Oion";3230;"-2,436788";"42,506067";435
33;"01";"Peñacerrada-Urizaharra";299;6215.0;42340;"01044000601";"Peñacerrada/Urizaharra";137;"-2,71402821";"42,64417512";752
34;"01";"Erriberagoitia/Ribera Alta";826;11981.0;83162;"01046001901";"Pobes";153;"-2,91080642";"42,80074682";545
35;"01";"Erriberabeitia";1421;2531.0;30540;"01047000501";"Ribabellosa";1128;"-2,91704002";"42,71339792";483
36;"01";"Añana";155;2192.0;21681;"01049000201";"Salinas de Añana/Gesaltza Añana";140;"-2,98601634";"42,8012318";574
37;"01";"Agurain/Salvatierra";5029;3776.0;37786;"01051000601";"Agurain/Salvatierra";4901;"-2,389753";"42,850452";608
38;"01";"Samaniego";308;1057.0;16515;"01052000101";"Samaniego";308;"-2,67904862";"42,56735197";571
39;"01";"San Millán/Donemiliaga";716;8540.0;107242;"01053001101";"Ordoñana/Erdoñana";44;"-2,37748902";"42,87382571";600
40;"01";"Urkabustaiz";1414;6084.0;37118;"01054000701";"Izarra";1067;"-2,90661046";"42,95304046";633
41;"01";"Valdegovía/Gaubea";1049;23823.0;104568;"01055003001";"Villanueva de Valdegovía";141;"-3,09884417";"42,84756896";552
42;"01";"Harana/Valle de Arana";226;3912.0;37971;"01056000101";"Alda";29;"-2,33104687";"42,75289194";812
43;"01";"Villabuena de Álava/Eskuernaga";287;847.0;14014;"01057000101";"Villabuena de Álava/Eskuernaga";287;"-2,66452938";"42,54857804";483
